ReferenceRun,ElapsedTime
CHAIN-OMP-OFF-MPI-1,55.28
RHODO-OMP-OFF-MPI-1,19.68
LIQUID-VAPOR-OMP-OFF-MPI-1,37.30
CHAIN-OMP-OFF-MPI-4,17.83
RHODO-OMP-OFF-MPI-4,5.63
LIQUID-VAPOR-OMP-OFF-MPI-4,11.85
CHAIN-OMP-1-MPI-1,56.00
RHODO-OMP-1-MPI-1,19.58
LIQUID-VAPOR-OMP-1-MPI-1,37.19
CHAIN-OMP-1-MPI-4,18.16
RHODO-OMP-1-MPI-4,5.71
LIQUID-VAPOR-OMP-1-MPI-4,12.13
CHAIN-OMP-2-MPI-2,29.38
RHODO-OMP-2-MPI-2,10.54
LIQUID-VAPOR-OMP-2-MPI-2,21.93
CHAIN-OMP-4-MPI-1,56.40
RHODO-OMP-4-MPI-1,19.85
LIQUID-VAPOR-OMP-4-MPI-1,36.95
CHAIN-OMP-1-MPI-1,56.00
RHODO-OMP-1-MPI-1,19.58
LIQUID-VAPOR-OMP-1-MPI-1,37.19
CHAIN-OMP-1-MPI-4,18.16
RHODO-OMP-1-MPI-4,5.71
LIQUID-VAPOR-OMP-1-MPI-4,12.13
CHAIN-OMP-2-MPI-2,29.38
RHODO-OMP-2-MPI-2,10.54
LIQUID-VAPOR-OMP-2-MPI-2,21.93
CHAIN-OMP-4-MPI-1,56.40
RHODO-OMP-4-MPI-1,19.85
LIQUID-VAPOR-OMP-4-MPI-1,36.95
